user_id,variant,converted
1,A,0
2,B,0
3,B,0
4,A,1
5,A,0
6,B,0
7,A,0
8,B,0
9,A,0
10,A,0
11,B,0
12,B,0
13,B,1
14,B,0
15,B,0
16,B,1
17,B,0
18,A,0
19,B,0
20,A,0
21,B,0
22,A,0
23,A,0
24,B,0
25,B,0
26,B,0
27,A,0
28,B,0
29,B,0
30,A,0
31,A,0
32,A,0
33,A,0
34,B,1
35,B,0
36,A,0
37,B,0
38,B,0
39,A,0
40,B,0
41,A,1
42,B,0
43,B,0
44,A,0
45,A,0
46,B,0
47,A,0
48,B,0
49,B,0
50,B,0
51,B,1
52,A,1
53,A,0
54,A,0
55,A,0
56,A,0
57,B,1
58,A,0
59,B,0
60,B,0
61,B,0
62,B,0
63,A,0
64,B,1
65,A,0
66,A,0
67,B,0
68,A,0
69,A,0
70,A,0
71,B,0
72,A,0
73,A,0
74,A,0
75,B,0
76,A,0
77,A,0
78,A,0
79,B,0
80,B,0
81,B,0
82,A,0
83,A,0
84,B,0
85,B,0
86,B,0
87,A,0
88,A,0
89,B,0
90,B,0
91,A,0
92,B,1
93,B,0
94,A,0
95,B,0
96,A,0
97,A,1
98,B,0
99,B,0
100,A,0
101,B,0
102,A,0
103,B,0
104,A,0
105,B,0
106,B,0
107,B,0
108,B,0
109,A,0
110,B,0
111,A,0
112,B,0
113,B,0
114,A,0
115,B,1
116,B,0
117,A,0
118,A,0
119,A,0
120,A,0
121,A,1
122,B,0
123,B,1
124,A,0
125,B,0
126,B,0
127,A,1
128,B,0
129,B,0
130,B,0
131,B,0
132,B,1
133,A,0
134,B,0
135,B,0
136,A,0
137,B,0
138,A,0
139,A,0
140,A,1
141,B,1
142,A,0
143,A,0
144,A,0
145,B,0
146,B,0
147,A,1
148,A,1
149,B,0
150,A,0
151,B,0
152,A,0
153,B,1
154,A,0
155,A,0
156,B,0
157,A,0
158,B,0
159,B,0
160,B,0
161,B,0
162,B,0
163,A,0
164,A,0
165,A,0
166,B,0
167,A,0
168,A,0
169,A,0
170,A,0
171,A,0
172,A,0
173,B,0
174,B,0
175,B,0
176,A,0
177,B,1
178,A,0
179,B,0
180,B,0
181,B,0
182,A,0
183,A,0
184,B,1
185,A,1
186,A,1
187,A,0
188,A,0
189,A,0
190,A,0
191,B,0
192,B,0
193,B,0
194,A,0
195,B,1
196,A,0
197,A,1
198,A,0
199,A,0
200,B,0
201,A,0
202,B,0
203,A,0
204,B,0
205,A,0
206,A,0
207,B,0
208,B,0
209,A,0
210,B,0
211,A,1
212,B,0
213,B,1
214,A,0
215,B,0
216,A,0
217,A,0
218,A,1
219,A,1
220,B,0
221,A,0
222,A,0
223,B,0
224,A,0
225,B,0
226,A,0
227,B,0
228,B,1
229,B,1
230,A,0
231,A,0
232,B,0
233,A,0
234,B,0
235,A,0
236,B,0
237,B,0
238,A,0
239,A,0
240,B,0
241,A,0
242,B,1
243,A,0
244,B,0
245,B,0
246,A,0
247,B,1
248,A,0
249,B,1
250,A,0
251,A,0
252,A,0
253,A,0
254,A,0
255,B,0
256,A,0
257,B,0
258,A,0
259,A,0
260,B,0
261,B,0
262,A,0
263,A,1
264,B,0
265,B,0
266,B,0
267,A,0
268,A,0
269,B,0
270,B,0
271,A,0
272,A,0
273,A,0
274,B,0
275,A,0
276,A,0
277,A,0
278,B,0
279,A,1
280,A,0
281,A,0
282,A,0
283,B,0
284,A,0
285,A,0
286,B,0
287,A,0
288,B,0
289,B,0
290,A,0
291,B,0
292,A,0
293,B,0
294,A,0
295,B,1
296,B,0
297,B,0
298,A,0
299,A,0
300,A,0
301,A,0
302,B,0
303,A,0
304,B,0
305,B,0
306,A,0
307,A,0
308,B,0
309,A,0
310,A,0
311,B,1
312,B,0
313,A,0
314,A,0
315,A,0
316,B,0
317,B,0
318,B,0
319,B,0
320,B,0
321,A,0
322,A,0
323,B,0
324,B,0
325,B,0
326,A,1
327,A,0
328,A,0
329,A,0
330,B,0
331,B,0
332,A,0
333,A,0
334,B,1
335,A,0
336,B,0
337,B,0
338,A,0
339,A,0
340,B,0
341,B,0
342,A,0
343,B,1
344,B,0
345,B,0
346,A,0
347,B,0
348,B,0
349,A,0
350,A,0
351,B,0
352,A,0
353,A,0
354,A,0
355,B,0
356,B,0
357,A,0
358,B,0
359,A,0
360,B,0
361,B,0
362,B,0
363,A,0
364,B,0
365,A,1
366,B,0
367,A,0
368,A,0
369,A,0
370,B,0
371,A,0
372,B,1
373,A,0
374,A,0
375,B,0
376,A,0
377,B,0
378,B,0
379,A,0
380,A,1
381,A,0
382,B,0
383,B,1
384,A,0
385,A,0
386,A,0
387,A,0
388,B,0
389,B,0
390,A,0
391,B,0
392,A,0
393,A,0
394,B,0
395,B,0
396,B,0
397,A,1
398,A,0
399,A,0
400,A,0
401,B,0
402,B,0
403,A,0
404,B,0
405,A,0
406,B,0
407,A,0
408,A,0
409,B,0
410,A,0
411,A,0
412,A,1
413,A,0
414,A,0
415,A,0
416,B,0
417,B,0
418,A,1
419,A,1
420,B,0
421,B,0
422,B,0
423,B,0
424,B,0
425,A,0
426,A,0
427,B,1
428,B,0
429,A,0
430,B,0
431,A,1
432,B,0
433,B,0
434,A,0
435,A,0
436,A,0
437,B,0
438,B,0
439,A,0
440,A,0
441,B,0
442,A,0
443,A,0
444,A,0
445,B,0
446,B,1
447,A,0
448,B,1
449,B,1
450,A,0
451,B,0
452,B,0
453,A,0
454,A,0
455,B,0
456,B,0
457,A,0
458,B,0
459,B,0
460,A,0
461,B,0
462,A,0
463,B,1
464,A,0
465,A,0
466,B,0
467,A,0
468,B,0
469,A,0
470,B,0
471,B,0
472,B,0
473,A,0
474,A,0
475,B,0
476,B,1
477,B,0
478,A,0
479,B,0
480,A,0
481,A,0
482,B,1
483,A,0
484,B,0
485,A,0
486,A,0
487,A,0
488,B,1
489,B,0
490,B,0
491,B,0
492,B,0
493,B,0
494,B,0
495,A,0
496,A,0
497,A,0
498,A,0
499,B,0
500,A,0
501,A,0
502,B,1
503,B,0
504,B,0
505,A,0
506,A,0
507,B,0
508,A,1
509,A,1
510,A,0
511,B,0
512,B,0
513,B,0
514,B,0
515,B,0
516,A,0
517,B,1
518,A,0
519,A,0
520,B,0
521,A,0
522,A,0
523,A,1
524,B,0
525,A,0
526,A,0
527,B,0
528,A,0
529,B,1
530,B,0
531,B,0
532,A,1
533,A,0
534,A,0
535,B,0
536,A,0
537,A,0
538,A,0
539,B,0
540,A,0
541,B,0
542,A,0
543,A,0
544,A,0
545,B,0
546,A,0
547,A,0
548,B,0
549,B,0
550,B,0
551,B,0
552,A,0
553,B,0
554,A,1
555,B,0
556,B,0
557,B,0
558,B,1
559,B,0
560,B,0
561,B,0
562,A,0
563,A,0
564,A,0
565,B,0
566,A,0
567,A,0
568,A,0
569,B,0
570,B,0
571,B,0
572,A,0
573,A,0
574,A,0
575,A,0
576,A,0
577,B,0
578,B,0
579,B,0
580,A,1
581,A,0
582,B,0
583,A,0
584,A,0
585,A,0
586,B,0
587,B,0
588,A,0
589,B,0
590,B,0
591,B,1
592,B,0
593,A,0
594,B,0
595,A,0
596,B,0
597,B,0
598,B,0
599,B,1
600,B,0
601,B,0
602,B,0
603,B,0
604,A,0
605,B,0
606,B,0
607,A,0
608,B,0
609,B,0
610,B,0
611,B,0
612,A,0
613,B,0
614,A,0
615,B,0
616,B,0
617,A,0
618,A,0
619,A,0
620,A,0
621,A,0
622,A,0
623,A,0
624,A,0
625,B,0
626,A,0
627,A,0
628,A,1
629,B,0
630,A,0
631,B,0
632,A,0
633,A,0
634,A,0
635,A,0
636,B,1
637,A,0
638,A,0
639,B,0
640,B,0
641,B,0
642,B,0
643,B,0
644,A,0
645,B,0
646,A,0
647,A,0
648,B,0
649,B,0
650,B,0
651,A,0
652,B,0
653,A,0
654,B,0
655,B,0
656,B,0
657,B,0
658,B,0
659,A,0
660,A,0
661,A,0
662,B,0
663,A,0
664,A,0
665,B,0
666,B,0
667,B,0
668,B,1
669,B,0
670,A,0
671,B,0
672,B,0
673,B,0
674,A,0
675,B,0
676,B,0
677,B,0
678,A,0
679,B,1
680,B,0
681,B,0
682,A,0
683,B,0
684,B,0
685,A,0
686,B,0
687,A,0
688,B,0
689,A,0
690,B,0
691,B,0
692,B,0
693,B,1
694,B,0
695,A,0
696,A,0
697,B,0
698,B,0
699,A,0
700,A,0
701,B,0
702,B,0
703,A,0
704,A,0
705,A,0
706,B,0
707,A,0
708,B,0
709,A,0
710,A,0
711,B,0
712,B,0
713,B,0
714,B,0
715,B,0
716,B,0
717,B,0
718,A,0
719,A,1
720,B,0
721,A,0
722,B,0
723,B,1
724,A,0
725,B,0
726,A,0
727,B,0
728,A,0
729,A,0
730,B,0
731,B,0
732,A,1
733,B,0
734,B,0
735,A,0
736,B,0
737,B,0
738,A,0
739,B,0
740,B,0
741,B,0
742,B,0
743,B,1
744,A,0
745,B,0
746,A,0
747,B,0
748,A,0
749,A,0
750,A,0
751,B,0
752,A,0
753,A,0
754,B,0
755,B,0
756,A,0
757,B,0
758,A,0
759,A,0
760,B,0
761,A,0
762,B,0
763,B,0
764,B,0
765,A,0
766,B,0
767,B,0
768,A,0
769,A,0
770,A,0
771,B,1
772,B,0
773,A,0
774,B,0
775,B,0
776,B,0
777,A,0
778,A,0
779,A,0
780,B,0
781,B,0
782,B,0
783,A,0
784,A,0
785,A,0
786,B,0
787,A,0
788,B,0
789,B,1
790,A,0
791,A,0
792,A,0
793,B,0
794,B,0
795,A,0
796,A,0
797,B,0
798,A,0
799,A,0
800,A,0
801,A,0
802,A,0
803,B,0
804,B,1
805,B,0
806,B,0
807,B,0
808,A,0
809,A,0
810,B,0
811,A,0
812,B,0
813,B,0
814,A,0
815,B,1
816,B,1
817,A,0
818,A,0
819,B,0
820,B,0
821,A,0
822,B,1
823,A,0
824,B,0
825,B,0
826,A,0
827,B,0
828,B,0
829,B,0
830,A,0
831,A,0
832,A,1
833,A,0
834,A,0
835,B,0
836,B,1
837,B,0
838,A,0
839,A,0
840,B,0
841,A,0
842,B,0
843,B,0
844,A,0
845,A,0
846,A,0
847,A,0
848,A,1
849,B,0
850,B,0
851,B,0
852,B,0
853,B,0
854,A,0
855,A,0
856,B,0
857,A,0
858,A,0
859,B,0
860,B,0
861,B,0
862,B,0
863,A,0
864,B,0
865,B,0
866,B,0
867,B,1
868,B,1
869,A,0
870,A,0
871,A,0
872,A,0
873,A,0
874,A,0
875,B,0
876,B,0
877,B,0
878,B,0
879,B,0
880,B,0
881,A,0
882,B,0
883,A,0
884,A,0
885,B,0
886,B,0
887,A,0
888,A,0
889,A,0
890,A,1
891,A,0
892,B,0
893,B,0
894,B,0
895,B,0
896,B,0
897,B,0
898,A,0
899,A,1
900,B,1
901,A,0
902,A,0
903,A,0
904,B,0
905,A,0
906,B,1
907,A,0
908,A,1
909,A,0
910,A,0
911,B,0
912,A,0
913,A,0
914,B,0
915,B,0
916,A,0
917,B,0
918,B,0
919,A,0
920,B,1
921,B,0
922,B,0
923,A,0
924,A,0
925,A,0
926,B,0
927,B,0
928,A,0
929,A,0
930,B,0
931,B,0
932,B,0
933,A,0
934,B,0
935,A,0
936,B,0
937,A,0
938,A,0
939,A,0
940,B,0
941,B,0
942,A,0
943,B,0
944,A,0
945,A,0
946,A,0
947,B,0
948,A,0
949,B,0
950,A,0
951,A,0
952,A,0
953,B,0
954,A,0
955,B,0
956,B,0
957,A,0
958,B,0
959,B,0
960,A,0
961,A,0
962,A,0
963,B,0
964,A,0
965,B,0
966,B,0
967,B,0
968,A,0
969,B,0
970,A,0
971,A,0
972,A,0
973,A,0
974,A,0
975,A,0
976,A,0
977,A,0
978,B,0
979,A,0
980,B,0
981,B,0
982,B,0
983,B,0
984,B,0
985,B,0
986,B,0
987,B,0
988,A,0
989,A,0
990,B,0
991,A,0
992,B,0
993,A,0
994,A,0
995,B,0
996,B,0
997,B,0
998,A,0
999,B,0
1000,B,0
1001,B,0
1002,B,1
1003,B,0
1004,B,0
1005,A,0
1006,B,0
1007,B,0
1008,B,0
1009,B,0
1010,B,0
1011,A,0
1012,B,0
1013,A,0
1014,A,0
1015,B,0
1016,B,0
1017,A,0
1018,A,0
1019,A,0
1020,A,0
1021,A,0
1022,A,0
1023,B,0
1024,B,0
